run,bun,eligible,suite,fixture,metric,pairs,median_A,median_B,median_change_pct,median_abs_pair_pct,p90_abs_pair_pct,A_mad_pct,B_mad_pct,paired_changes_pct
aa-140-1,1.4.0,False,http,json,p50,5,1.0431919999991806,0.9717190000010305,-6.851375393811132,15.489381808060365,25.28762958726287,9.11797636478705,8.630890205874561,"[-15.489381808060365, -6.352141288400759, 17.30160890826116, 9.032694582056, -25.28762958726287]"
aa-140-1,1.4.0,False,http,json,p95,5,2.0836899999994785,1.9544970000006288,-6.200202525274012,7.0825314705299185,66.54029322140534,7.152647466663503,9.589167954729104,"[-7.0825314705299185, -8.23444428692255, 3.0959041702633083, 1.0258180932488203, -66.54029322140534]"
aa-140-1,1.4.0,False,http,json,p99,5,2.950001000001066,3.0448280000000523,3.2144734865836355,4.174010883545876,69.35585790459444,3.1099311492039363,2.9844050304317284,"[1.4176287452184466, 0.4955058851751293, 5.704201456189151, -4.174010883545876, -69.35585790459444]"
aa-140-1,1.4.0,False,http,di,rps,5,24089.203937047383,23804.030527810766,-1.18382247077099,14.153836172477297,16.606110566128017,6.013676459752203,3.9972201989022635,"[2.50932941357076, -1.18382247077099, -16.300007321710154, 16.606110566128017, 14.153836172477297]"
aa-140-1,1.4.0,False,http,di,p50,5,1.2047849999999016,1.2630750000007538,4.838207647078674,7.981195202132829,34.64020721428118,10.087027976042313,10.181422322474162,"[5.764134870562554, -4.767882670159739, 34.64020721428118, -28.001842652292364, -7.981195202132829]"
aa-140-1,1.4.0,False,http,di,p95,5,2.517412000001059,2.4234049999995477,-3.734271545598089,6.517986787864283,21.338578715678814,14.481300637378249,0.21783399806815806,"[-4.302736055357803, -3.524572060536424, 6.517986787864283, -15.866302967427693, -21.338578715678814]"
aa-140-1,1.4.0,False,http,di,p99,5,3.3503899999996065,3.3720499999999447,0.6464919009530501,17.173152734633447,24.918427719442448,7.950089392557731,8.224077341707842,"[1.8240249643422635, -0.35557054547259437, 17.173152734633447, -17.70449129728734, -24.918427719442448]"
aa-140-1,1.4.0,False,http,static-file,rps,5,16084.070291256938,14390.59878618858,-10.528874062362824,2.6657195411744605,13.48093007103377,3.412029291455209,6.540293314008752,"[-2.6657195411744605, -0.1747924392404121, -13.48093007103377, 2.1984622727075465, -4.7040575478705104]"
aa-140-1,1.4.0,False,http,static-file,p50,5,2.0762549999999464,2.2165770000010525,6.75841840241731,4.024189419182223,28.475022865721968,11.419791884899666,8.998333917560673,"[-1.5300797266886157, 0.964091597647454, 28.475022865721968, -4.024189419182223, 4.438264878094689]"
aa-140-1,1.4.0,False,http,static-file,p95,5,3.245543999999427,3.6370460000016465,12.062754348802196,2.7984047204663742,17.521055106008387,7.041284912473294,3.7807330454274464,"[3.2738269326830993, 0.97546050832229, 17.521055106008387, 0.16403625304355351, -2.7984047204663742]"
aa-140-1,1.4.0,False,http,static-file,p99,5,4.0570520000001125,4.76180100000056,17.370962955378143,3.331293630572607,17.525073227959687,2.9547316623084154,13.631502030398218,"[3.331293630572607, 0.5795834019487911, 17.525073227959687, -2.0018658038391757, 6.747649774818676]"
aa-140-1,1.4.0,False,http,post-json,rps,5,8994.392226828548,8329.85286576166,-7.388374270411447,9.563872603606981,24.352152846914834,4.303804118309982,4.880308089328144,"[9.563872603606981, 7.3827252000753685, -24.352152846914834, -15.542971982567334, 0.1713445106566347]"
aa-140-1,1.4.0,False,http,post-json,p50,5,3.2537479999991774,3.440257999998721,5.73215872893631,10.34936309453104,35.905199011116416,6.405505281869937,5.396077852283878,"[-10.34936309453104, -2.7083843001947883, 35.905199011116416, 23.02056690749712, -1.0032239313903735]"
aa-140-1,1.4.0,False,http,post-json,p95,5,6.293879000000743,6.422958999999537,2.0508814992912683,11.349616435901478,21.889783832607378,5.962841039703175,5.05122327574672,"[-11.349616435901478, -7.458500552689651, 21.889783832607378, 18.989386821370747, -1.663227128982503]"
aa-140-1,1.4.0,False,http,post-json,p99,5,7.717713000000003,7.918487999999343,2.601483107746283,7.6045815426451835,27.484498499031318,8.804952969869662,6.732825761695092,"[-7.6045815426451835, -6.927972055959863, 27.484498499031318, 11.557054018994162, -6.463148548301922]"
aa-140-1,1.4.0,False,http,async,rps,5,24379.846276108863,29782.46319409568,22.160176306284306,17.57456284370058,75.82314309442933,20.321951505721387,10.492572086722197,"[24.039780436876313, 75.82314309442933, -16.061477828760495, -3.1615403176964763, 17.57456284370058]"
aa-140-1,1.4.0,False,http,async,p50,5,1.110196999999971,1.0565860000006069,-4.828962787628277,19.247740179925643,44.77049036801447,9.799431992648682,17.691981532982517,"[-19.247740179925643, -44.77049036801447, 24.177354993600233, -0.489834590171101, 17.161548806098615]"
aa-140-1,1.4.0,False,http,async,p95,5,2.2500700000000506,1.8797579999991285,-16.45779909073557,16.186207540223762,58.17036019737441,25.050109552154645,7.173955370831179,"[-16.186207540223762, -44.54005301938625, 11.464073409684472, 6.4611721981638, -58.17036019737441]"
aa-140-1,1.4.0,False,http,async,p99,5,4.304254999999102,2.781264999999621,-35.38335902496016,38.707465054904475,64.39147346532906,41.766902750874046,5.144349783252209,"[-38.707465054904475, -58.18294029680708, 21.178565967156658, 10.96205427405752, -64.39147346532906]"
