bun,suite,fixture,metric,samples,median_abs_pair_pct,p90_abs_pair_pct,envelope_pct,noisy
1.4.2,dispatch,middleware-20,nsPerOp,5,11.038394346843006,33.54955566879263,33.54955566879263,True
1.4.2,dispatch,static-listeners,nsPerOp,5,17.37082971861974,80.29786947983251,80.29786947983251,True
1.4.2,dispatch,middleware-listeners,nsPerOp,5,3.283806595644667,21.95142931683549,21.95142931683549,True
1.4.2,http,static,rps,5,5.449164701799425,9.310798064292669,9.310798064292669,False
1.4.2,http,static,p50,5,4.197726859902429,16.495615425469634,16.495615425469634,False
1.4.2,http,static,p95,5,5.772772691109496,15.157511975113191,15.157511975113191,False
1.4.2,http,static,p99,5,12.522022685234202,15.443621287121644,15.443621287121644,False
1.4.2,http,param,rps,5,7.884247845728942,26.707092188302095,26.707092188302095,True
1.4.2,http,param,p50,5,9.665701297238115,29.345894063312695,29.345894063312695,True
1.4.2,http,param,p95,5,5.20629559887289,17.71143815688161,17.71143815688161,False
1.4.2,http,param,p99,5,8.436201468502036,21.99306170689991,21.99306170689991,True
1.4.2,http,wildcard,rps,5,5.436576442237717,13.514092093856899,13.514092093856899,False
1.4.2,http,wildcard,p50,5,7.315456042554036,12.679187394524272,12.679187394524272,False
1.4.2,http,wildcard,p95,5,3.639283326700826,11.378835204045068,11.378835204045068,False
1.4.2,http,wildcard,p99,5,5.503248751069978,17.964327572242045,17.964327572242045,False
1.4.2,http,middleware,rps,5,2.3249762267006258,4.800194989051021,5,False
1.4.2,http,middleware,p50,5,12.156082609704445,19.08710154084362,19.08710154084362,False
1.4.2,http,middleware,p95,5,6.115937908722069,7.044553395942299,7.044553395942299,False
1.4.2,http,middleware,p99,5,5.266618634314679,20.298533564342204,20.298533564342204,True
1.4.2,http,json,rps,5,3.9047240627142044,8.610281131569486,8.610281131569486,False
1.4.2,http,json,p50,5,11.477882775920056,18.08720005608255,18.08720005608255,False
1.4.2,http,json,p95,5,6.27123292689975,10.898970261559738,10.898970261559738,False
1.4.2,http,json,p99,5,6.05267386430719,8.098258160193627,8.098258160193627,False
1.4.2,http,di,rps,5,10.90411835912617,14.377857382158432,14.377857382158432,False
1.4.2,http,di,p50,5,15.349346563671851,48.008718519872986,48.008718519872986,True
1.4.2,http,di,p95,5,15.346343066573521,21.613723609901193,21.613723609901193,True
1.4.2,http,di,p99,5,12.50377873641938,19.34637155803709,19.34637155803709,False
1.4.2,http,static-file,rps,5,4.63480424629068,12.319810483737836,12.319810483737836,False
1.4.2,http,static-file,p50,5,3.5744183488701675,11.183141018761377,11.183141018761377,False
1.4.2,http,static-file,p95,5,10.760888082017338,18.69184322126842,18.69184322126842,False
1.4.2,http,static-file,p99,5,6.2218504867280195,36.928540690017186,36.928540690017186,True
1.4.2,http,post-json,rps,5,10.789281200324652,20.899059379877027,20.899059379877027,True
1.4.2,http,post-json,p50,5,9.706991567829649,25.625265036458945,25.625265036458945,True
1.4.2,http,post-json,p95,5,9.953728596789357,29.768723969853127,29.768723969853127,True
1.4.2,http,post-json,p99,5,16.902783766916272,41.79985514371574,41.79985514371574,True
1.4.2,http,async,rps,5,6.090451155157228,10.007800782705367,10.007800782705367,False
1.4.2,http,async,p50,5,2.5073240469431823,5.746710200803085,5.746710200803085,False
1.4.2,http,async,p95,5,12.489063141045742,17.78395303482486,17.78395303482486,False
1.4.2,http,async,p99,5,10.455009164104801,26.35224117388688,26.35224117388688,True
1.4.2,http,query,rps,5,6.370271844878306,22.052307792985726,22.052307792985726,True
1.4.2,http,query,p50,5,9.735061996622152,11.006907999710968,11.006907999710968,False
1.4.2,http,query,p95,5,3.763868269272219,21.593349419567065,21.593349419567065,True
1.4.2,http,query,p99,5,8.407260155491292,23.178402356113438,23.178402356113438,True
1.4.2,http,metadata,rps,5,2.807810171256464,7.147765825499963,7.147765825499963,False
1.4.2,http,metadata,p50,5,1.8560856417933924,22.391973809440692,22.391973809440692,True
1.4.2,http,metadata,p95,5,3.046461600201944,26.203561032618072,26.203561032618072,True
1.4.2,http,metadata,p99,5,4.823201592088844,12.284624691782431,12.284624691782431,False
1.4.2,http,class-warm,rps,5,1.9746494980920848,12.474549018496095,12.474549018496095,False
1.4.2,http,class-warm,p50,5,12.203329390606598,19.70749993125349,19.70749993125349,False
1.4.2,http,class-warm,p95,5,9.45396787978222,13.671295854252385,13.671295854252385,False
1.4.2,http,class-warm,p99,5,13.22518070559433,16.404964455174685,16.404964455174685,False
1.4.2,http,factory-warm,rps,5,6.930475315803086,10.446645854641258,10.446645854641258,False
1.4.2,http,factory-warm,p50,5,2.193194029818213,8.809418991142937,8.809418991142937,False
1.4.2,http,factory-warm,p95,5,10.426389350697862,16.616190864903224,16.616190864903224,False
1.4.2,http,factory-warm,p99,5,8.107094062743448,18.455841301338527,18.455841301338527,False
1.4.2,http,middleware-20,rps,5,6.198450331164384,9.18157049731061,9.18157049731061,False
1.4.2,http,middleware-20,p50,5,4.123292490635344,17.65300012679033,17.65300012679033,False
1.4.2,http,middleware-20,p95,5,4.562233503961755,13.483682104340156,13.483682104340156,False
1.4.2,http,middleware-20,p99,5,5.822092207440077,16.261372382767547,16.261372382767547,False
1.4.2,http,static-listeners,rps,5,0.41907073707770914,5.438831371285691,5.438831371285691,False
1.4.2,http,static-listeners,p50,5,5.527645656074531,15.290724453376004,15.290724453376004,False
1.4.2,http,static-listeners,p95,5,8.308755629144848,17.239683422821116,17.239683422821116,False
1.4.2,http,static-listeners,p99,5,3.881127244038163,17.66375134920205,17.66375134920205,False
1.4.2,http,middleware-listeners,rps,5,6.466939347363243,19.419119528184027,19.419119528184027,False
1.4.2,http,middleware-listeners,p50,5,12.03091094110561,26.48113137319683,26.48113137319683,True
1.4.2,http,middleware-listeners,p95,5,6.199605138583331,17.684403649682643,17.684403649682643,False
1.4.2,http,middleware-listeners,p99,5,7.244582360853125,24.36941228129408,24.36941228129408,True
