run,bun,scenario,kind,beforeMedianNs,candidateMedianNs,elapsedChangePercent,candidateWins,rounds
bun142-run5,1.4.2,framework/dispatch-helper/problem,control,7657.397300000048,7732.524200000081,0.9811022865436669,5,7
bun142-run5,1.4.2,framework/dispatch-contract/problem,control,6330.866200000128,6267.250899999999,-1.0048435394216293,5,7
bun142-run5,1.4.2,framework/middleware/problem-cookies,framework candidate,5551.904800000011,6480.315700000028,16.72238508124302,0,7
bun142-run5,1.4.2,framework/dispatch-error/problem-cookies,framework candidate,9090.78929999996,9813.370199999918,7.948494637313397,0,7
bun142-run5,1.4.2,framework/ws-problem/rejected,framework candidate,2614.7023999998055,2631.1241000003065,0.6280523550405759,2,7
bun140-run1,1.4.0,constructor/small,raw candidate,1175.3090000000016,1179.1801999999961,0.32937721058841074,3,7
bun140-run1,1.4.0,framework/helper/small,control,1252.6331000000027,1279.9513999999988,2.1808700408759707,1,7
bun140-run1,1.4.0,framework/dispatch-value/small,control,4706.567000000006,4307.4479,-8.480047134142687,7,7
bun140-run1,1.4.0,framework/dispatch-helper/small,control,4733.788199999981,4270.8822000000055,-9.778764499856107,5,7
bun140-run1,1.4.0,framework/dispatch-contract/small,control,5230.1028000000315,5038.178599999992,-3.66960664712056,5,7
bun140-run1,1.4.0,constructor/nested-array,raw candidate,5305.652700000019,5593.915800000013,5.433131723830953,2,7
bun140-run1,1.4.0,framework/helper/nested-array,control,5204.4398,5224.368199999981,0.3829115287293794,5,7
bun140-run1,1.4.0,framework/dispatch-value/nested-array,control,8744.498500000009,8609.325699999954,-1.5458039131695744,5,7
bun140-run1,1.4.0,framework/dispatch-helper/nested-array,control,8934.276799999952,8984.126500000002,0.5579601026022507,5,7
bun140-run1,1.4.0,framework/dispatch-contract/nested-array,control,9678.760599999987,9150.159399999939,-5.461455467759468,4,7
bun140-run1,1.4.0,constructor/unicode,raw candidate,2065.6402999999955,3174.3312999999034,53.672994276879194,0,7
bun140-run1,1.4.0,framework/helper/unicode,control,2139.6763000000647,2195.028099999945,2.5869240127527116,3,7
bun140-run1,1.4.0,framework/dispatch-value/unicode,control,5471.122800000012,5781.648700000005,5.675725282568922,3,7
bun140-run1,1.4.0,framework/dispatch-helper/unicode,control,5575.331399999959,5375.814799999898,-3.5785603704214353,3,7
bun140-run1,1.4.0,framework/dispatch-contract/unicode,control,6410.487099999955,6166.617300000144,-3.8042319748184616,5,7
bun140-run1,1.4.0,constructor/problem,raw candidate,1943.9931000000797,2297.960400000011,18.208259072520192,0,7
bun140-run1,1.4.0,framework/helper/problem,control,2457.786600000145,2368.2042999998885,-3.644836374331739,5,7
bun140-run1,1.4.0,framework/dispatch-value/problem,control,5909.255400000075,5783.58049999988,-2.1267467979162458,5,7
bun140-run1,1.4.0,framework/dispatch-helper/problem,control,7891.975300000014,7057.085099999858,-10.578976343224921,5,7
bun140-run1,1.4.0,framework/dispatch-contract/problem,control,7877.955199999997,7628.700200000094,-3.163955540136898,4,7
bun140-run1,1.4.0,framework/middleware/problem-cookies,framework candidate,6106.863599999997,6455.986999999914,5.716901880695624,1,7
bun140-run1,1.4.0,framework/dispatch-error/problem-cookies,framework candidate,9967.434800000046,9383.78900000007,-5.8555266396121635,6,7
bun140-run1,1.4.0,framework/ws-problem/rejected,framework candidate,2624.523699999918,2626.1537000002136,0.06210650718436739,4,7
bun140-run3,1.4.0,constructor/small,raw candidate,1251.7089999999996,1310.8440000000003,4.724340881147349,4,7
bun140-run3,1.4.0,framework/helper/small,control,1308.9965000000007,1421.1113000000012,8.564942687012579,2,7
bun140-run3,1.4.0,framework/dispatch-value/small,control,4458.424200000001,4557.464300000003,2.221414911573505,3,7
bun140-run3,1.4.0,framework/dispatch-helper/small,control,4544.9888999999985,4473.453399999994,-1.5739422377908263,7,7
bun140-run3,1.4.0,framework/dispatch-contract/small,control,5558.192700000018,5460.166699999991,-1.7636308291367198,2,7
bun140-run3,1.4.0,constructor/nested-array,raw candidate,4958.285399999977,5107.782399999996,3.0150946938233947,2,7
bun140-run3,1.4.0,framework/helper/nested-array,control,5241.900499999974,5257.976599999984,0.30668456984273007,3,7
bun140-run3,1.4.0,framework/dispatch-value/nested-array,control,8607.808100000057,8687.069999999949,0.9208139758586364,2,7
bun140-run3,1.4.0,framework/dispatch-helper/nested-array,control,8815.154799999982,8845.176199999969,0.34056577202690175,4,7
bun140-run3,1.4.0,framework/dispatch-contract/nested-array,control,8986.17609999992,9321.883200000048,3.7358170623890796,3,7
bun140-run3,1.4.0,constructor/unicode,raw candidate,2027.362499999981,3075.626199999897,51.70578522587479,0,7
bun140-run3,1.4.0,framework/helper/unicode,control,2209.4678000001295,2133.456699999988,-3.4402447503483535,4,7
bun140-run3,1.4.0,framework/dispatch-value/unicode,control,5664.3505000000005,5455.169500000011,-3.692938846209981,6,7
bun140-run3,1.4.0,framework/dispatch-helper/unicode,control,5643.88799999997,5633.141799999976,-0.1904042036269038,4,7
bun140-run3,1.4.0,framework/dispatch-contract/unicode,control,6016.869899999983,6050.269800000024,0.5551042411610085,2,7
bun140-run3,1.4.0,constructor/problem,raw candidate,1931.1157000000094,2269.66680000005,17.531373184943753,1,7
bun140-run3,1.4.0,framework/helper/problem,control,2381.3806999998633,2383.125999999902,0.07328941567548153,1,7
bun140-run3,1.4.0,framework/dispatch-value/problem,control,5514.748499999951,5111.580899999899,-7.310715982787885,5,7
bun140-run3,1.4.0,framework/dispatch-helper/problem,control,5720.7556000001205,5607.921600000009,-1.9723618327640025,5,7
bun140-run3,1.4.0,framework/dispatch-contract/problem,control,6070.158199999969,6085.027199999968,0.24495242974060805,2,7
bun140-run3,1.4.0,framework/middleware/problem-cookies,framework candidate,6362.119799999891,6756.634199999826,6.200989802171608,1,7
bun140-run3,1.4.0,framework/dispatch-error/problem-cookies,framework candidate,11612.847500000134,12460.712700000113,7.301096479566871,1,7
bun140-run3,1.4.0,framework/ws-problem/rejected,framework candidate,3842.912299999807,3793.9851999999514,-1.273177636654843,5,7
